Key,Speaking Character,Line
WakeUp,Narrator,"By the time your head hits the pillow, the entire wound had miraculously closed. Only a slight scar remained. "
WakeUp,Narrator,Thoughts race through your head as you contemplate the events of the past few days.
WakeUp,Narrator,What are you going to do? How much worse is it going to get? Are people going to find you out? Are you going to be exiled?
WakeUp,Narrator,"You stay up for hours fearing the worst, but eventually, you pass out."
WakeUp,Narrator,...
WakeUp,Narrator,An awful ache runs throughout your whole body as you sit up from your cot.
WakeUp,Narrator,Your muscles fight against your every move as you try to freshen up a little bit before walking out to greet everyone.
WakeUp,Narrator,"Looking down at your arms, you see that your skin is... tearing? "
WakeUp,Narrator,Oh fuck it's not just your skin. As you lift your right arm to your face you feel -and see- your bicep tendons tear and snap.
WakeUp,Narrator,"You need to find something, ANYTHING to keep these wounds closed."
,,
Story,Narrator,Your muscles are tearing and splitting anytime you move. 
,,
AilHint,Vela,"I need to find a brace, or a wrap, or SOMETHING to keep this damage from getting any worse."
,,
NightTime,Narrator,"As you wind down for the night, you hesitantly unveil your arm to see that your bicep has fully healed, leaving behind a vicious scar."
NightTime,Narrator,"You exhale, letting out an immense sign of relief. It's still not quite comfortable to lay down, no matter how much you fidget."
NightTime,Narrator,At least you made it through another day. You pass out fretting for what horrorific symptom tomorrow might bring.
,,
MAMA_MPR,Mama,Hiya there hun!
MAMA_MPR,Narrator,"She's distracted, tallying up supply stores."
MAMA_MPR,Narrator,You manage to squeeze out an unassuming response-
MAMA_MPR,Vela,Hey. Finding anything noteworthy in there?
MAMA_MPR,Mama,"Thankfully, no! Everything seems to be exactly where it should be. "
MAMA_MPR,Mama,"Some of our spare clothes seem to be disappearing from around camp, though."
MAMA_MPR,Narrator,You try to act as though you definitely aren't the person swiping every loose t-shirt and coat you can get your hands on.
MAMA_MPR,Vela,Haha! We should keep our eyes on the local raccoon population! I'm sure those dirty bastards would love to wrap themselves in our exquisite duds.
MAMA_MPR,Mama,Har har. I'll keep my eye out. Take care Vela.
,,
MAMA_PR,Mama,"Oh, hey there Vela."
MAMA_PR,Narrator,Looks like she's busy taking notes on our supply stores.
MAMA_PR,Vela,How's it going?
MAMA_PR,Narrator,"She looks over, with a slightly suspicious eye."
MAMA_PR,Mama,Are you trying to butter me up so I'll overlook your judicious use of our medical supplies recently?
MAMA_PR,Vela,"Uh,"
MAMA_PR,Mama,"We've got people sick in the camp, Vela, try and leave what you can for people who actually need the meds, alright?"
MAMA_PR,Mama,"Say, where'd you get that shirt? Isn't that Jean's?"
